stimulus,correct_1,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,1,,,,2024-06-02_13h28.37.743,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h28.44.300456 +0200,
,,,,,,,,,,,,,,,,,1,,,,2024-06-02_13h28.37.743,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h28.44.300456 +0200,
,,,,,,,,,,,,,,,,,1,,,,2024-06-02_13h28.37.743,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h28.44.300456 +0200,
,,,,,,,,,,,,,,,,,1,,,,2024-06-02_13h28.37.743,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h28.44.300456 +0200,
,,,,,,,,,,,,,,,,,1,,,,2024-06-02_13h28.37.743,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h28.44.300456 +0200,
,,,,,,,,,,,,28.53368337500433,29.30241124999884,,,,1,,,,2024-06-02_13h28.37.743,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h28.44.300456 +0200,
,,,,,,,,,,,,,,,,,1,,,,2024-06-02_13h28.37.743,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h28.44.300456 +0200,
,,,,,,,,,,,,,,,,,1,,,,2024-06-02_13h28.37.743,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h28.44.300456 +0200,
stimuli/train_18.jpg,3,,,,,0,0,0,13,33.25537133299804,,,,j,36.66259466700285,None,1,,,,2024-06-02_13h28.37.743,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h28.44.300456 +0200,
,,,,,,,,,,38.16560141700029,,,,j,41.40002875000209,None,,,,,,,,,,
