stimulus,correct_answer,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h14.35.729,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h14.45.779354 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h14.35.729,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h14.45.779354 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h14.35.729,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h14.45.779354 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h14.35.729,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h14.45.779354 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h14.35.729,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h14.45.779354 +0200,
,,,,,,,,6.2241487500141375,7.032435291039292,,,,,1,,,,2024-06-22_14h14.35.729,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h14.45.779354 +0200,
,,,,,,,,,,,,,,1,,,,2024-06-22_14h14.35.729,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h14.45.779354 +0200,
stimuli/train_11.jpg,j,0,0,0,10,9.545232708042022,,,,j,1,14.149803166044876,None,1,,,,2024-06-22_14h14.35.729,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h14.45.779354 +0200,
stimuli/train_x6.jpg,f,0,1,1,21,15.164569166023284,,,,j,0,17.917146625055466,None,1,,,,2024-06-22_14h14.35.729,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h14.45.779354 +0200,
stimuli/train_6.jpg,j,0,2,2,5,18.931312208005693,,,,j,1,20.350091666041408,None,1,,,,2024-06-22_14h14.35.729,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h14.45.779354 +0200,
stimuli/train_8.jpg,j,0,3,3,7,21.371542791021056,,,,j,1,23.550761958002113,None,1,,,,2024-06-22_14h14.35.729,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 14h14.45.779354 +0200,
,,,,,,24.555180458002724,,,,,,,,,,,,,,,,,
