stimulus,correct_answer,correct_1,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
,,,,,,,,,,,,,7.686015250044875,8.259094333043322,,,,,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_3.jpg,j,,0,0,0,2,,,,,10.778622875048313,,,,j,1,11.372236541006714,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_x8.jpg,f,,0,1,1,23,,,,,12.383826625009533,,,,j,0,12.760020833055023,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_10.jpg,j,,0,2,2,9,,,,,13.860279375046957,,,,j,1,13.943141333002131,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_16.jpg,f,,0,3,3,15,,,,,15.333925750048365,,,,j,0,15.455197250004858,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_13.jpg,f,,0,4,4,12,,,,,16.658845041005407,,,,j,0,16.610086208034772,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_x1.jpg,f,,0,5,5,16,,,,,18.408700291009154,,,,j,0,18.019277125014924,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_7.jpg,j,,0,6,6,6,,,,,19.734130791039206,,,,j,1,19.009711375052575,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_6.jpg,j,,0,7,7,5,,,,,21.05075095803477,,,,j,1,21.187750166049227,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_12.jpg,j,,0,8,8,11,,,,,22.851176875003148,,,,j,1,22.736915625049733,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_x9.jpg,f,,0,9,9,24,,,,,24.184226208017208,,,,j,0,23.55927991605131,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_1.jpg,j,,0,10,10,0,,,,,25.64219750004122,,,,j,1,24.703690416004974,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_11.jpg,j,,0,11,11,10,,,,,27.375457791029476,,,,j,1,29.123094625014346,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_9.jpg,j,,0,12,12,8,,,,,30.12583925004583,,,,j,1,30.647130708035547,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_4.jpg,j,,0,13,13,3,,,,,31.834672625001986,,,,j,1,32.61359491600888,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_x4.jpg,f,,0,14,14,19,,,,,33.69132012501359,,,,j,0,34.037635583023075,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_x3.jpg,f,,0,15,15,18,,,,,35.36784204101423,,,,j,0,36.0863488750183,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_14.jpg,f,,0,16,16,13,,,,,37.23480316600762,,,,j,0,37.27628904103767,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_8.jpg,j,,0,17,17,7,,,,,38.48481541604269,,,,j,1,38.74662354105385,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_x7.jpg,f,,0,18,18,22,,,,,40.034632125054486,,,,j,0,40.18909254105529,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_x5.jpg,f,,0,19,19,20,,,,,41.46808283304563,,,,j,0,42.25650795805268,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_5.jpg,j,,0,20,20,4,,,,,43.36814191599842,,,,j,1,43.5111068750266,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_x6.jpg,f,,0,21,21,21,,,,,44.80954829102848,,,,j,0,48.07616379100364,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_15.jpg,f,,0,22,22,14,,,,,49.09199987503234,,,,j,0,48.533800125005655,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_x2.jpg,f,,0,23,23,17,,,,,50.31000779103488,,,,j,0,50.62075466604438,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
stimuli/train_2.jpg,j,,0,24,24,1,,,,,51.85194537503412,,,,j,1,52.46034462505486,None,,,,1,,,,2024-06-22_15h24.19.545,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h24.26.304408 +0200,
