kitchens_1,living_rooms_1,bedrooms_1,living_rooms_2,bedrooms_2,kitchens_2,subject_id,task,block_total,block_scene,trial_block,trial_total,target_cat,category,cond_cat,cond_mem,correct_answer,stimulus,conceptual,perceptual,typicality,n,p_typicality,p_conceptual,p_perceptual,r_typicality,r_conceptual,r_perceptual,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,categorization_trials.thisRepN,categorization_trials.thisTrialN,categorization_trials.thisN,categorization_trials.thisIndex,kitchen_a_categorization_trials.thisRepN,kitchen_a_categorization_trials.thisTrialN,kitchen_a_categorization_trials.thisN,kitchen_a_categorization_trials.thisIndex,kitchen_a_memotest.thisRepN,kitchen_a_memotest.thisTrialN,kitchen_a_memotest.thisN,kitchen_a_memotest.thisIndex,kitchen_b_categorization_trials.thisRepN,kitchen_b_categorization_trials.thisTrialN,kitchen_b_categorization_trials.thisN,kitchen_b_categorization_trials.thisIndex,kitchen_b_memotest.thisRepN,kitchen_b_memotest.thisTrialN,kitchen_b_memotest.thisN,kitchen_b_memotest.thisIndex,living_a_categorization_trials.thisRepN,living_a_categorization_trials.thisTrialN,living_a_categorization_trials.thisN,living_a_categorization_trials.thisIndex,living_a_memotest.thisRepN,living_a_memotest.thisTrialN,living_a_memotest.thisN,living_a_memotest.thisIndex,living_b_categorization_trials.thisRepN,living_b_categorization_trials.thisTrialN,living_b_categorization_trials.thisN,living_b_categorization_trials.thisIndex,living_b_memotest.thisRepN,living_b_memotest.thisTrialN,living_b_memotest.thisN,living_b_memotest.thisIndex,bed_a_categorization_trials.thisRepN,bed_a_categorization_trials.thisTrialN,bed_a_categorization_trials.thisN,bed_a_categorization_trials.thisIndex,bed_a_memotest.thisRepN,bed_a_memotest.thisTrialN,bed_a_memotest.thisN,bed_a_memotest.thisIndex,bed_b_categorization_trials.thisRepN,bed_b_categorization_trials.thisTrialN,bed_b_categorization_trials.thisN,bed_b_categorization_trials.thisIndex,bed_b_memotest.thisRepN,bed_b_memotest.thisTrialN,bed_b_memotest.thisN,bed_b_memotest.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,bed_b_text_2.started,bed_b_block_no.started,bed_picture_image.started,bed_picture_image.stopped,bed_picture_resp.keys,bed_picture_resp.corr,bed_picture_resp.rt,bed_picture_resp.duration,memotest_task_slider_key_resp.keys,memotest_task_slider_key_resp.rt,memotest_task_slider_key_resp.duration,kitchen_fix.started,kitchen_picture_resp.keys,kitchen_picture_resp.corr,kitchen_picture_resp.rt,kitchen_picture_resp.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.01218237499415,94.10564541699569,,,,,,,,,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
0,0,0,0,1,0,2,categorization,1,2,18,286,bedrooms,bedrooms,target,None,j,stimuli/img_okvvw.png,50.58333333333334,32.11111111111111,41.34722222222223,36,2,2,2,2,2,3,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,17,,,,,98.92665870899509,,,,99.2474443339961,99.2474443339961,103.61246691699489,104.35353612499603,j,1,104.81280833399796,None,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
0,0,0,0,1,0,2,categorization,1,2,5,273,bedrooms,bedrooms,target,None,j,stimuli/img_gbypq.png,76.275,51.925,64.1,40,6,6,6,6,6,6,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,104.83228412499739,,,,,,106.76065362499503,107.50380737499654,j,1,108.61407399999734,None,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
0,0,0,0,1,0,2,categorization,1,2,25,293,bedrooms,living_rooms,distractor,None,f,stimuli/img_wz6x5.png,68.3695652173913,48.47826086956522,58.42391304347826,46,5,5,5,5,5,5,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,24,,,,,108.6309387089932,,,,,,109.75210495899955,110.49338012499356,j,0,110.97879758399358,None,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
0,0,0,0,1,0,2,categorization,1,2,9,277,bedrooms,bedrooms,target,None,j,stimuli/img_v8dra.png,61.77272727272727,38.79545454545455,50.28409090909091,44,3,3,3,3,4,3,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,8,,,,,110.99625587499759,,,,,,112.54508279199945,,j,1,113.21767658399767,None,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
0,0,0,0,1,0,2,categorization,1,2,13,281,bedrooms,bedrooms,target,None,j,stimuli/img_9pfbj.png,91.27272727272727,80.0909090909091,85.68181818181819,33,10,10,10,10,10,10,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,12,,,,,113.23194095899817,,,,,,114.99362962499436,,j,1,115.49723149999772,None,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
