"","subject_id","task","block_total","block_scene","trial_block","trial_total","target_cat","category","cond_cat","cond_mem","correct_answer","stimulus","conceptual","perceptual","typicality","n","p_typicality","p_conceptual","p_perceptual","r_typicality","r_conceptual","r_perceptual"
"1",1,"categorization",1,1,1,1,"living_rooms","bedrooms","target","","j","stimuli/img_fqgem.png",80.75,61.475,71.1125,40,8,8,8,8,8,8
"2",1,"categorization",1,1,2,2,"living_rooms","bedrooms","target","","j","stimuli/img_anzgh.png",75.1052631578947,55.7631578947368,65.4342105263158,38,6,6,6,6,6,6
"3",1,"categorization",1,1,3,3,"living_rooms","bedrooms","target","","j","stimuli/img_5p2ql.png",89.195652173913,72.5217391304348,80.8586956521739,46,10,10,10,10,10,9
"4",1,"categorization",1,1,4,4,"living_rooms","kitchens","distractor","","f","stimuli/img_d0k76.png",67.0909090909091,46.3030303030303,56.6969696969697,33,4,4,4,4,4,4
"5",1,"categorization",1,1,5,5,"living_rooms","bedrooms","target","","j","stimuli/img_yteqw.png",66.8378378378378,43.7837837837838,55.3108108108108,37,4,4,4,5,4,4
"6",1,"categorization",1,1,6,6,"living_rooms","bedrooms","target","","j","stimuli/img_v8dra.png",61.7727272727273,38.7954545454545,50.2840909090909,44,3,3,3,3,4,3
"7",1,"categorization",1,1,7,7,"living_rooms","bedrooms","target","","j","stimuli/img_t4hvr.png",61.6923076923077,39.7692307692308,50.7307692307692,39,3,3,3,4,3,4
"8",1,"categorization",1,1,8,8,"living_rooms","bedrooms","target","","j","stimuli/img_cgdyc.png",32.9302325581395,14.046511627907,23.4883720930233,43,1,1,1,1,1,1
"9",1,"categorization",1,1,9,9,"living_rooms","bedrooms","target","","j","stimuli/img_aweye.png",53.421052631579,31.8421052631579,42.6315789473684,38,2,2,2,3,3,2
"10",1,"categorization",1,1,10,10,"living_rooms","living_rooms","distractor","","f","stimuli/img_73pyk.png",69.2765957446808,47.2765957446808,58.2765957446808,47,5,5,5,5,5,5
"11",1,"categorization",1,1,11,11,"living_rooms","bedrooms","target","","j","stimuli/img_9pfbj.png",91.2727272727273,80.0909090909091,85.6818181818182,33,10,10,10,10,10,10
"12",1,"categorization",1,1,12,12,"living_rooms","bedrooms","target","","j","stimuli/img_2pnl2.png",6.62162162162162,7.13513513513514,6.87837837837838,37,1,1,1,1,1,1
"13",1,"categorization",1,1,13,13,"living_rooms","kitchens","distractor","","f","stimuli/img_g7870.png",68.7096774193548,44.2258064516129,56.4677419354839,31,4,4,4,4,4,4
"14",1,"categorization",1,1,14,14,"living_rooms","kitchens","distractor","","f","stimuli/img_anjr0.png",67.8888888888889,45.8055555555556,56.8472222222222,36,4,4,4,4,4,4
"15",1,"categorization",1,1,15,15,"living_rooms","bedrooms","target","","j","stimuli/img_2pk6v.png",85.0810810810811,66.1621621621622,75.6216216216216,37,9,9,9,9,9,8
"16",1,"categorization",1,1,16,16,"living_rooms","living_rooms","distractor","","f","stimuli/img_wz6x5.png",68.3695652173913,48.4782608695652,58.4239130434783,46,5,5,5,5,5,5
"17",1,"categorization",1,1,17,17,"living_rooms","bedrooms","target","","j","stimuli/img_ic3os.png",84.7906976744186,66.1627906976744,75.4767441860465,43,9,9,9,8,9,9
"18",1,"categorization",1,1,18,18,"living_rooms","bedrooms","target","","j","stimuli/img_kzg3h.png",77.0277777777778,56.2222222222222,66.625,36,7,7,7,7,7,7
"19",1,"categorization",1,1,19,19,"living_rooms","bedrooms","target","","j","stimuli/img_ose78.png",80.1944444444444,60.25,70.2222222222222,36,8,7,7,7,7,7
"20",1,"categorization",1,1,20,20,"living_rooms","bedrooms","target","","j","stimuli/img_bj2gr.png",65.25,44.8,55.025,40,4,4,4,4,4,4
"21",1,"categorization",1,1,21,21,"living_rooms","bedrooms","target","","j","stimuli/img_gbypq.png",76.275,51.925,64.1,40,6,6,6,6,6,6
"22",1,"categorization",1,1,22,22,"living_rooms","bedrooms","target","","j","stimuli/img_z3yzz.png",71.7105263157895,49.8157894736842,60.7631578947368,38,5,5,5,5,5,5
"23",1,"categorization",1,1,23,23,"living_rooms","bedrooms","target","","j","stimuli/img_3bxjb.png",87.2857142857143,72.6571428571429,79.9714285714286,35,10,10,10,9,9,10
"24",1,"categorization",1,1,24,24,"living_rooms","bedrooms","target","","j","stimuli/img_jivhq.png",37,22.265306122449,29.6326530612245,49,2,2,2,2,2,2
"25",1,"categorization",1,1,25,25,"living_rooms","living_rooms","distractor","","f","stimuli/img_xy930.png",70.5952380952381,49.4761904761905,60.0357142857143,42,6,6,6,5,5,5
"26",1,"categorization",1,1,26,26,"living_rooms","bedrooms","target","","j","stimuli/img_okvvw.png",50.5833333333333,32.1111111111111,41.3472222222222,36,2,2,2,2,2,3
